Sample number,depth?cm?,Age (yr BP),Age (kyr BP),sand,Silt,clay,"
Average particle size
Mz",Mean grain size (um),Median particle sizeMd???,Median (um),"

Skewness value
Skf???",kurtosisKg???,"

Separation coefficient
?i???",Sediment types
1#,2 ,,,1.485 ,68.608 ,29.907 ,7.111 ,7.235 ,6.987 ,7.881 ,-0.139 ,0.994 ,1.734 ,clay silt
2#,4 ,,,2.337 ,68.739 ,28.924 ,7.082 ,7.380 ,6.967 ,7.992 ,-0.127 ,1.033 ,1.727 ,clay silt
3#,6 ,2025.9 ,2 ,7.673 ,63.454 ,28.873 ,6.951 ,8.083 ,6.884 ,8.465 ,0.081 ,1.426 ,2.270 ,clay silt
4#,8 ,2251.7 ,2 ,1.869 ,67.169 ,30.962 ,7.180 ,6.896 ,7.054 ,7.524 ,-0.132 ,1.015 ,1.747 ,clay silt
5#,10 ,2477.5 ,2 ,2.646 ,68.568 ,28.786 ,7.064 ,7.471 ,6.950 ,8.089 ,-0.125 ,1.031 ,1.732 ,clay silt
6#,12 ,2703.3 ,3 ,4.067 ,67.655 ,28.278 ,7.008 ,7.770 ,6.926 ,8.225 ,-0.084 ,1.062 ,1.788 ,clay silt
7#,14 ,2929.1 ,3 ,2.925 ,68.384 ,28.691 ,7.025 ,7.680 ,6.928 ,8.213 ,-0.106 ,1.027 ,1.778 ,clay silt
8#,16 ,3154.9 ,3 ,3.389 ,72.312 ,24.299 ,6.721 ,9.481 ,6.568 ,10.541 ,-0.168 ,0.991 ,1.821 ,clay silt
66#,132 ,20383.8 ,20 ,4.267 ,70.075 ,25.657 ,6.734 ,9.392 ,6.601 ,10.302 ,-0.147 ,0.965 ,1.893 ,clay silt
67#,134 ,20960.7 ,21 ,3.040 ,69.314 ,27.646 ,6.913 ,8.296 ,6.821 ,8.845 ,-0.114 ,0.988 ,1.819 ,clay silt
68#,136 ,21537.6 ,22 ,5.043 ,69.338 ,25.618 ,6.686 ,9.710 ,6.537 ,10.767 ,-0.155 ,0.948 ,1.940 ,clay silt
69#,138 ,22114.5 ,22 ,4.624 ,69.291 ,26.085 ,6.738 ,9.367 ,6.604 ,10.278 ,-0.142 ,0.958 ,1.910 ,clay silt
70#,140 ,22691.5 ,23 ,5.098 ,69.413 ,25.489 ,6.704 ,9.592 ,6.589 ,10.386 ,-0.129 ,0.964 ,1.908 ,clay silt
71#,142 ,23268.4 ,23 ,4.920 ,69.588 ,25.492 ,6.734 ,9.392 ,6.628 ,10.111 ,-0.121 ,0.983 ,1.887 ,clay silt
72#,144 ,23845.3 ,24 ,1.870 ,72.207 ,25.923 ,6.866 ,8.571 ,6.723 ,9.466 ,-0.167 ,0.990 ,1.746 ,clay silt
73#,146 ,24422.2 ,24 ,4.419 ,71.254 ,24.327 ,6.682 ,9.739 ,6.539 ,10.757 ,-0.154 ,0.981 ,1.844 ,clay silt
74#,148 ,24999.1 ,25 ,3.732 ,69.905 ,26.363 ,6.811 ,8.905 ,6.674 ,9.797 ,-0.147 ,0.981 ,1.869 ,clay silt
75#,150 ,25576.0 ,26 ,5.601 ,69.339 ,25.059 ,6.676 ,9.779 ,6.558 ,10.616 ,-0.130 ,0.973 ,1.919 ,clay silt
76#,152 ,26153.0 ,26 ,4.657 ,70.368 ,24.975 ,6.707 ,9.572 ,6.560 ,10.600 ,-0.151 ,0.979 ,1.876 ,clay silt
77#,154 ,26729.9 ,27 ,3.153 ,68.638 ,28.209 ,6.937 ,8.163 ,6.845 ,8.696 ,-0.111 ,0.987 ,1.857 ,clay silt
78#,156 ,27306.8 ,27 ,1.732 ,69.371 ,28.896 ,7.017 ,7.723 ,6.878 ,8.502 ,-0.151 ,0.975 ,1.797 ,clay silt
79#,158 ,27883.7 ,28 ,4.440 ,70.815 ,24.745 ,6.707 ,9.569 ,6.577 ,10.476 ,-0.144 ,0.984 ,1.864 ,clay silt
80#,160 ,28460.6 ,28 ,2.767 ,69.805 ,27.428 ,6.918 ,8.271 ,6.794 ,9.014 ,-0.138 ,0.993 ,1.824 ,clay silt
81#,162 ,29037.5 ,29 ,3.401 ,68.296 ,28.304 ,6.947 ,8.108 ,6.880 ,8.492 ,-0.090 ,0.998 ,1.834 ,clay silt
82#,164 ,,0 ,2.948 ,68.211 ,28.841 ,7.000 ,7.811 ,6.915 ,8.284 ,-0.102 ,1.007 ,1.819 ,clay silt
83#,166 ,,0 ,3.631 ,69.804 ,26.565 ,6.833 ,8.771 ,6.725 ,9.451 ,-0.125 ,0.986 ,1.850 ,clay silt
84#,168 ,,0 ,3.622 ,69.837 ,26.541 ,6.831 ,8.785 ,6.719 ,9.493 ,-0.128 ,0.984 ,1.844 ,clay silt
85#,170 ,,0 ,2.581 ,71.162 ,26.257 ,6.878 ,8.504 ,6.760 ,9.227 ,-0.140 ,1.004 ,1.784 ,clay silt
